breadcrumb,category,today_count,baseline,surge_pct
REMOTE ACCESS TROJAN,malware,24,1.0,1150.0
REMOTE CODE EXECUTION,attack_vector,18,1.0,850.0
AI,tech,11,1.0,500.0
SUPPLY CHAIN ATTACK,attack_vector,10,1.2,400.0
BUSINESS EMAIL COMPROMISE,attack_vector,8,1.09,330.43
IRAN,geodata,7,1.0,300.0
PHISHING,attack_vector,7,1.0,300.0
ATTACKER,threat_actor,7,1.18,266.67
CLAUDE CODE,tech,6,1.0,250.0
RANSOMWARE,malware,6,1.0,250.0
THREAT ACTOR,threat_actor,6,1.1,233.33
NORTH KOREA,geodata,7,1.5,220.0
SOCIAL ENGINEERING,attack_vector,5,1.0,200.0
BACKDOOR,malware,4,1.0,150.0
CHINA,geodata,4,1.0,150.0
COMMAND AND CONTROL,malware,4,1.0,150.0
ORGANIZATION,tech,4,1.0,150.0
SPYWARE,malware,4,1.0,150.0
MALWARE,attack_vector,4,1.1,138.1
CHATGPT,tech,3,1.0,100.0
CLICKFIX,attack_vector,3,1.0,100.0
JAPAN,geodata,3,1.0,100.0
MAN-IN-THE-MIDDLE,attack_vector,3,1.0,100.0
PATH TRAVERSAL,attack_vector,3,1.0,100.0
PROMPT INJECTION,attack_vector,3,1.0,100.0
UKRAINE,geodata,3,1.0,100.0
OPENAI,tech,3,1.1,90.48
OPENCLAW,attack_vector,3,1.2,81.82
PERSON,tech,3,1.2,81.82
EXPERT,tech,3,1.3,73.91
ARTIFICIAL INTELLIGENCE,tech,2,1.0,50.0
AUSTRALIA,geodata,2,1.0,50.0
CODEQL,tech,2,1.0,50.0
CRITICAL VULNERABILITY,attack_vector,2,1.0,50.0
CVE-2025-53521,vulnerability,2,1.0,50.0
CVE-2026-20093,vulnerability,2,1.0,50.0
CVE-2026-3055,vulnerability,2,1.0,50.0
CVE-2026-3502,vulnerability,2,1.0,50.0
CVE-2026-5281,vulnerability,2,1.0,50.0
DATA POISONING,attack_vector,2,1.0,50.0
DEVELOPER,tech,2,1.0,50.0
EUROPEAN GOVERNMENT AND DIPLOMATIC ORGANIZATION,tech,2,1.0,50.0
EXPLOIT KIT,malware,2,1.0,50.0
HUMAN,tech,2,1.0,50.0
HUMAN ERROR,attack_vector,2,1.0,50.0
INDONESIA,geodata,2,1.0,50.0
INFORMATION STEALER,malware,2,1.0,50.0
MALICIOUS AGENT,threat_actor,2,1.0,50.0
ROOTKIT,malware,2,1.0,50.0
SMUGX,attack_vector,2,1.0,50.0
SQL INJECTION,attack_vector,2,1.0,50.0
SWITZERLAND,geodata,2,1.0,50.0
TA416,threat_actor,2,1.0,50.0
TARGET,tech,2,1.0,50.0
TBPN,tech,2,1.0,50.0
TEAMPCP,threat_actor,2,1.0,50.0
TOOL,tech,2,1.0,50.0
UNC1069,threat_actor,2,1.0,50.0
VULNERABILITY,attack_vector,2,1.0,50.0
ZERO-DAY EXPLOIT,malware,2,1.0,50.0
AI AGENT,tech,2,1.09,43.48
CYBERSECURITY,attack_vector,2,1.09,43.48
ENTERPRISE,tech,2,1.1,42.86
GERMANY,geodata,2,1.1,42.86
INDIA,geodata,2,1.1,42.86
MALICIOUS ACTOR,threat_actor,2,1.1,42.86
RUSSIA,geodata,2,1.1,42.86
ANTHROPIC,tech,2,1.18,37.5
CASBANEIRO,attack_vector,2,1.18,37.5
GENERATIVE AI,tech,2,1.2,36.36
MODEL,tech,2,1.2,36.36
SINGAPORE,geodata,2,1.2,36.36
WORM,malware,2,1.22,35.0
CVE,attack_vector,2,1.27,32.0
DDO,attack_vector,2,1.45,22.22
CANADA,geodata,2,1.55,17.86
CALIFORNIA,geodata,2,1.91,3.12
$\MU$-CENTERING,threat_actor,1,1.0,0.0
$\MU$-LOS,threat_actor,1,1.0,0.0
3D CONVOLUTIONAL NEURAL NETWORK,tech,1,1.0,0.0
3D DATUM,tech,1,1.0,0.0
3D SCENE GENERATION,tech,1,1.0,0.0
4D LIDAR APPROACH,tech,1,1.0,0.0
A18 PRO CHIP,tech,1,1.0,0.0
ABILITY,tech,1,1.0,0.0
ABSTRACT CONTROLLER,tech,1,1.0,0.0
ABSTRACT SYSTEM,tech,1,1.0,0.0
ABSTRACTION-BASED CONTROL,tech,1,1.0,0.0
ABSTRACTION-BASED CONTROL DESIGN,tech,1,1.0,0.0
ABUNDANT 2D DATUM,tech,1,1.0,0.0
ACADEMIC MODEL,tech,1,1.0,0.0
ACCELERATED VULNERABILITY DISCOVERY,attack_vector,1,1.0,0.0
ACCEPTABLE LABEL,tech,1,1.0,0.0
ACCESSIBILITY TREE,tech,1,1.0,0.0
ACTION NAME,tech,1,1.0,0.0
ACTIVE WATERMARKING TECHNIQUE,tech,1,1.0,0.0
ACTIVELY EXPLOITED VULN,attack_vector,1,1.0,0.0
ADADETECT,tech,1,1.0,0.0
ADAMFLOW,tech,1,1.0,0.0
ADAPTED READING INTERFACE,tech,1,1.0,0.0
ADAPTED US DATASET,tech,1,1.0,0.0
ADAPTIVE ATTACK,attack_vector,1,1.0,0.0
ADAPTIVE DOMAIN SAMPLING MECHANISM,tech,1,1.0,0.0
ADAPTIVE RECOMMENDER SYSTEM,tech,1,1.0,0.0
ADAPTIVE RETRIEVAL,tech,1,1.0,0.0
ADMIN,tech,1,1.0,0.0
ADVERSARIAL LEARNING ALGORITHM,tech,1,1.0,0.0
ADVERSARIAL MEMORY POISONING,attack_vector,1,1.0,0.0
ADVERSARIAL TRAJECTORY,tech,1,1.0,0.0
AEGI,tech,1,1.0,0.0
AGENT4REC,tech,1,1.0,0.0
AGENTSOCIALBENCH,tech,1,1.0,0.0
AGEWHEEZE,attack_vector,1,1.0,0.0
AI EDR,tech,1,1.0,0.0
AI MODEL,tech,1,1.0,0.0
AI QUERY,tech,1,1.0,0.0
AI SYSTEM,tech,1,1.0,0.0
AI TOOL,tech,1,1.0,0.0
AI-AS-ADVISOR,tech,1,1.0,0.0
AI-ASSISTED MEDICATION DECISION SYSTEM,tech,1,1.0,0.0
AI-ASSISTED MEDICATION SYSTEM,tech,1,1.0,0.0
AI-ASSISTED OBFUSCATION,tech,1,1.0,0.0
AI/ML APPROACH,tech,1,1.0,0.0
AKIRA RANSOMWARE GROUP,attack_vector,1,1.0,0.0
ALGORITHM,tech,1,1.0,0.0
ALGORITHMIC TASK,tech,1,1.0,0.0
ALIGNED POINT CLOUD,tech,1,1.0,0.0
ALTERNATIVE DATA SOURCE,tech,1,1.0,0.0
AMAZON,tech,1,1.0,0.0
AMBIGUOUS-PROMPT BENCHMARK,tech,1,1.0,0.0
ANALOG COMPUTER,tech,1,1.0,0.0
ANCHORVLA,tech,1,1.0,0.0
AND AND OR OPERATION,threat_actor,1,1.0,0.0
ANDROIDBUILDBENCH,tech,1,1.0,0.0
ANN METHOD,tech,1,1.0,0.0
AOT-PSYPHYBENCH,tech,1,1.0,0.0
APPLE,tech,1,1.0,0.0
APROC,tech,1,1.0,0.0
ARABEST-RQ,tech,1,1.0,0.0
ARBITRARY FILE DELETION VULNERABILITY,attack_vector,1,1.0,0.0
ARCHITECTURAL INNOVATION,tech,1,1.0,0.0
ARKIT STANDARD,tech,1,1.0,0.0
AROMAGEN,tech,1,1.0,0.0
ARQUEST,tech,1,1.0,0.0
ASSISTIVE WRITING TOOL,tech,1,1.0,0.0
